Year,Month,Day of the Week,Hour,Location Type,Status,Day Part
2014,April,Saturday,1,"Single Home, House",Stolen,Overnight
2014,April,Saturday,19,"Streets, Roads, Highways",Stolen,Evening
2014,April,Sunday,18,"Streets, Roads, Highways",Stolen,Evening
2014,April,Tuesday,10,"Streets, Roads, Highways",Stolen,Morning
2014,March,Thursday,14,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Tuesday,15,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Tuesday,13,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Monday,23,"Single Home, House",Stolen,Evening
2014,April,Wednesday,13,Private Property Structure,Stolen,Afternoon
2014,April,Thursday,12,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Wednesday,17,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2014,April,Tuesday,10,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2014,April,Tuesday,2,Universities / Colleges,Stolen,Overnight
2014,April,Wednesday,10,"Streets, Roads, Highways",Unknown,Morning
2014,April,Wednesday,21,Apartment,Stolen,Evening
2014,April,Thursday,21,"Streets, Roads, Highways",Stolen,Evening
2014,April,Friday,13,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Friday,11,"Streets, Roads, Highways",Stolen,Morning
2014,April,Thursday,15,Apartment,Stolen,Afternoon
2014,April,Thursday,20,"Single Home, House",Stolen,Evening
2014,April,Friday,17,Open Areas,Stolen,Afternoon
2014,April,Thursday,8,Go Station,Stolen,Morning
2014,April,Friday,13,Jails / Detention Centres,Stolen,Afternoon
2014,April,Friday,13,Apartment,Unknown,Afternoon
2014,April,Friday,8,Apartment,Stolen,Morning
2014,April,Thursday,12,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Friday,18,Private Property Structure,Stolen,Evening
2014,April,Sunday,10,Hospital / Institutions / Medical Facilities,Stolen,Morning
2014,April,Saturday,10,"Streets, Roads, Highways",Stolen,Morning
2014,April,Saturday,13,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Sunday,17,Private Property Structure,Stolen,Afternoon
2014,April,Sunday,12,Open Areas,Stolen,Afternoon
2014,March,Friday,19,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2014,April,Sunday,17,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Sunday,9,Bank And Other Financial Institutions,Stolen,Morning
2014,April,Saturday,14,Universities / Colleges,Stolen,Afternoon
2014,April,Monday,12,Universities / Colleges,Stolen,Afternoon
2014,April,Saturday,14,Universities / Colleges,Stolen,Afternoon
2014,April,Sunday,22,"Single Home, House",Stolen,Evening
2014,April,Wednesday,18,Private Property Structure,Stolen,Evening
2014,April,Tuesday,11,"Streets, Roads, Highways",Stolen,Morning
2014,April,Tuesday,9,Parking Lots,Stolen,Morning
2014,April,Wednesday,8,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2014,April,Thursday,11,"Streets, Roads, Highways",Stolen,Morning
2014,April,Thursday,3,Parking Lots,Stolen,Overnight
2014,April,Monday,9,Private Property Structure,Stolen,Morning
2014,April,Saturday,12,Private Property Structure,Stolen,Afternoon
2014,April,Monday,18,"Streets, Roads, Highways",Stolen,Evening
2014,April,Monday,9,Private Property Structure,Stolen,Morning
2014,April,Wednesday,11,"Streets, Roads, Highways",Stolen,Morning
2014,April,Thursday,13,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Wednesday,13,Universities / Colleges,Stolen,Afternoon
2014,April,Thursday,16,Universities / Colleges,Stolen,Afternoon
2014,April,Thursday,10,Parking Lots,Stolen,Morning
2014,April,Wednesday,14,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Thursday,9,"Streets, Roads, Highways",Stolen,Morning
2014,April,Thursday,8,Apartment,Stolen,Morning
2014,April,Friday,11,"Streets, Roads, Highways",Stolen,Morning
2014,April,Thursday,20,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2014,April,Thursday,15,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2014,April,Friday,19,Ttc Subway Station,Stolen,Evening
2014,April,Saturday,13,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Saturday,20,"Streets, Roads, Highways",Stolen,Evening
